			Cigányszerelem	Szerelemtánc	Turandot	István, a király	Elisabeth
Párizs	külsõ	90	6000	4000	6000	6800	6800
	belsõ	216	8000	4800	8000	9000	9000
Róma	1-10 sor	210	11000	6800	11000	13200	13200
	11-18 sor	168	11000	6800	11000	11100	11100
London	1-10 sor	210	11000	6800	11000	13200	13200
	11-18 sor	168	11000	6800	11000	11000	11000
Bécs	belsõ	216	8000	4800	8000	9000	9000
	külsõ	90	6000	4000	6000	6800	6800
Turku	külsõ	190	4000	3200	4000	4700	4700
	belsõ	344	6000	4000	6000	6800	6800
Darmstadt		336	9000	5800	9000	10000	10000
Berlin		336	9000	5800	9000	10000	10000
Parma	belsõ	344	6000	4000	6000	6800	6800
	külsõ	190	4000	3200	4000	4700	4700
Odessza		126	3000	2500	3000	3700	3700
Toledo		210	4000	3200	4000	4700	4700
Nizza		210	4000	3200	4000	4700	4700
Brüsszel		126	3000	2500	3000	3700	3700
