	Szeged					Szolnok				
2000. év	Máj	Jún	Júl	Aug	Szept	Máj	Jún	Júl	Aug	Szept
1	17,7	21	23,3	22,2	23,2	17,8	19,4	23	21,7	22,5
2	18,2	20,6	23,3	22,2	22,8	18,4	20	23,8	22	21,4
3	18,3	20,7	24	22,6	22,5	17,2	20,8	24	22,6	21,7
4	18,2	21,6	24,8	23	22	17	21	24,4	23	21,2
5	18,2	22,2	25,4	23	21	17	21,8	24,6	23	20,8
6	18,4	22,8	25,2	23,2	20,2	17,2	22,6	24,3	22	20,5
7	18,6	23,2	25	24	20,1	17,8	23	24,1	23	20,5
8	18,8	23	24,7	24,1	19,6	18,6	23	24,2	23	18,8
9	19,1	23	24,8	23,6	19,3	19	23	23,9	22,6	19
10	19,9	23,8	23	23,6	19,2	19	23,4	22,5	22,8	19,8
11	20,2	24,2	23,6	24,2	19,5	19	23,5	22,5	22,8	20,1
12	20,8	24,4	23,5	24,3	20	20,3	23,8	23,2	23	20,4
13	20,7	25	23,2	24,2	20,2	19,8	24,2	23,3	23,6	20,4
14	20,5	25,6	22,2	24	20,3	19,6	25	22,4	23,8	20,6
15	20,3	26,2	22	24,8	20,4	19,4	25,4	22,3	24,4	20,4
16	20,4	25,9	21,2	24,9	19,5	19,8	25,4	22	24,4	19,6
17	21	23,8	20,6	25	20,1	20,4	24,2	21,1	24,8	19,2
18	21,2	23	20,5	25,5	20,2	20,6	23,4	20,8	25,3	18,8
19	21,4	22,6	20,9	25	20,1	20,2	23,2	20,9	25,6	18,4
20	21,2	23	20,9	25,1	20,2	20,6	24	21,2	25,8	18,2
21	21,2	23,6	21	26,2	20	20,2	24,4	21,3	25,8	18,4
22	20,5	24,6	21,2	25,3	19,8	19,8	24,8	21	25,9	18
23	20	25	21,8	26,2	19,1	19,2	25,4	20,3	25,8	17,6
24	20	25,3	22	25,2	18,3	19	25,4	20,2	25,6	16,6
25	20,2	25,3	21,6	25,2	18	19,8	24,4	20	24,8	16
26	20,2	23,9	21,8	25	18	20,6	23	20,2	24,5	16,4
27	20,5	24	21,1	23,9	17,2	21	23	20,4	22,8	16,2
28	21,3	24	22,4	23,3	17	21,8	22,6	20,7	22,6	16,4
29	22	23,8	22,5	23,6	16,8	21,8	23	20,6	22,6	16
30	21,4	23,5	22	23,5	16	20,8	23	21,4	22,6	16
31	21,2		21,2	23,6	 	20,4		21,5	23	 
Legalább										
Legfeljebb										
Leggyakoribb										

Meleg vizû napok száma:										

Változás 3-29 között:										
